性别,大学,入学年,J值
F,大连海事大学,2018,22
F,广东第二师范学院,2015,3015
F,石河子大学,2017,206
F,西南石油大学,2018,32
F,佳木斯大学,2017,1702
F,内蒙古大学,2018,30
F,怀化学院,2017,760
M,东莞理工学院城市学院,2018,42
M,湖南财政经济学院,2015,85
F,河北农业大学,2018,38
M,聊城大学,2018,12
M,东莞理工学院城市学院,2018,30
M,湖南工业大学,2018,8
M,昆明理工大学,2018,20
M,赤峰学院,2018,23
M,华南农业大学,2018,16
F,赤峰学院,2018,14
F,广西师范学院,2016,3947
M,昆明理工大学,2018,16
F,陕西科技大学,2018,20
M,赤峰学院,2018,20
M,贵州理工学院,2015,1096
M,内蒙古大学,2018,44
M,内蒙古大学,2018,6
M,石河子大学,2017,244
M,大连海事大学,2018,79
M,内蒙古大学,2018,12
M,石河子大学,2017,203
M,广西民族大学,2014,94
M,东莞理工学院城市学院,2018,4
M,南京邮电大学,2018,74
M,华北水利水电大学,2018,2
F,陕西科技大学,2018,20
M,大连海事大学,2018,26
M,聊城大学,2018,18
M,东莞理工学院城市学院,2018,2
M,东莞理工学院城市学院,2018,13
M,湘南学院,2016,220
M,陕西科技大学,2018,44
F,赤峰学院,2018,40
M,内蒙古大学,2018,34
F,河北科技大学,2018,50
F,福建师范大学,2017,186
M,兴义民族师范学院,2016,1067
M,兰州理工大学,2017,311
F,南宁学院,2017,446
M,赤峰学院,2018,7
M,昆明理工大学,2018,41
M,西京学院,2017,130
M,华南农业大学,2018,6
M,赤峰学院,2018,28
F,六盘水师范学院,2018,30
M,东莞理工学院城市学院,2018,20
F,西南石油大学,2018,70
F,河北科技大学,2018,28
F,华南农业大学,2018,24
M,陕西科技大学,2018,14
M,湖南师范大学,2018,14
M,西南医科大学,2018,82
M,陕西科技大学,2016,3380
M,河北农业大学,2018,18
M,桂林理工大学,2016,991
M,陕西科技大学,2018,32
M,赤峰学院,2018,40
M,赤峰学院,2018,14
F,厦门海洋职业技术学院,2018,20
F,南方医科大学,2018,22
F,西南石油大学,2018,10
M,湖南文理学院,2018,4
M,东莞理工学院城市学院,2018,4
M,陕西科技大学,2018,4
M,浙江理工大学,2016,208
M,广西师范学院,2017,379
M,河北农业大学,2018,58
M,赤峰学院,2018,6
F,东莞理工学院城市学院,2018,58
M,东莞理工学院城市学院,2018,20
F,桂林医学院,2017,1252
M,石河子大学,2017,232
M,华南农业大学,2018,35
M,海南大学,2017,166
M,南京邮电大学,2018,14
M,广西民族大学,2016,532
M,赤峰学院,2018,2
F,华南农业大学,2018,20
M,陕西科技大学,2016,11700
F,柳州职业技术学院,2017,1194
M,广西师范大学,2017,499
F,雅安职业技术学院,2017,417
M,河北农业大学,2018,8
F,广西中医药大学赛恩斯新医药学院,2016,3603
M,昆明理工大学,2018,54
F,河北科技大学,2018,79
M,陕西科技大学,2018,24
M,赤峰学院,2018,28
M,贵州理工学院,2015,359
M,沧州师范学院,2017,26
M,广州医科大学,2016,1182
F,广西师范大学,2015,524
M,东莞理工学院城市学院,2018,16
F,河北农业大学,2018,55
M,吉林农业大学,2016,26
M,河北农业大学,2018,16
M,赤峰学院,2018,8
M,赤峰学院,2018,8
M,内蒙古大学,2018,60
M,陕西科技大学,2018,30
F,河北农业大学,2018,46
M,石河子大学,2017,332
F,赤峰学院,2018,52
F,广西师范大学,2015,4693
M,广西师范大学,2015,1265
M,大连海事大学,2018,44
M,陕西科技大学,2018,20
M,聊城大学,2018,32
M,赤峰学院,2018,8
M,内蒙古大学,2018,12
M,赤峰学院,2018,20
M,西南石油大学,2018,74
M,河北农业大学,2018,50
F,乐山师范学院,2018,25
F,广西中医药大学,2017,2873
F,广西中医药大学赛恩斯新医药学院,2016,1492
M,赤峰学院,2018,6
M,昆明理工大学,2018,34
M,陕西科技大学,2018,34
M,铜陵学院,2017,292
M,大连海事大学,2018,39
F,兰州理工大学,2017,1013
M,贵州职业技术学院,2017,49
M,贵州理工学院,2017,887
M,内蒙古大学,2018,37
M,湖南工业大学,2018,44
F,河北农业大学,2018,32
F,广西中医药大学赛恩斯新医药学院,2015,3209
M,河北农业大学,2018,30
M,塔里木大学,2016,467
F,广西民族大学,2017,484
M,广西师范大学,2015,1172
M,南京邮电大学,2018,54
M,昆明理工大学,2018,35
M,石河子大学,2017,703
F,昆明学院,2014,2010
M,贵州职业技术学院,2017,794
F,河北农业大学,2018,10
F,玉溪师范学院,2017,489
M,东莞理工学院城市学院,2018,33
M,河北农业大学,2018,34
F,兰州理工大学,2016,16927
M,湖南工业大学,2018,24
M,桂林医学院,2017,13100
F,广西师范大学,2017,419
F,陕西科技大学,2018,52
M,沧州师范学院,2018,16
M,赤峰学院,2018,12
M,赤峰学院,2018,34
M,陕西科技大学,2018,12
M,三明学院,2016,797
M,安顺职业技术学院,2017,8
M,陕西科技大学,2018,38
F,福建工程学院,2017,5332
M,内蒙古大学,2018,24
M,广州华立科技职业学院,2016,1398
M,大连海事大学,2018,22
M,湖南工业大学,2018,60
M,山东农业大学,2016,528
F,莆田学院,2018,33
M,陕西科技大学,2018,50
M,南京信息职业技术学院,2017,1100
F,陕西科技大学,2018,52
M,陕西科技大学,2018,26
F,赤峰学院,2018,31
M,黑龙江八一农垦大学,2018,8
F,河北师范大学,2018,38
F,河北科技大学,2018,28
M,华南农业大学,2018,14
F,湘南学院,2016,388
M,陕西科技大学,2018,24
M,赤峰学院,2018,12
F,长沙民政职业技术学院,2017,1568
M,陕西科技大学,2018,44
M,湘南学院,2018,46
M,昆明理工大学,2015,239
M,广西农业职业技术学院,2018,10
F,贺州学院,2015,64
F,广西师范大学,2016,1923
M,南京邮电大学,2018,16
M,湖南工业大学,2018,16
F,陕西科技大学,2018,74
M,西南财经大学,2018,26
M,绵阳师范学院,2017,42
M,中国石油大学（华东）,2017,1734
M,湖南文理学院,2018,31
M,兰州理工大学,2017,1870
M,湖南工业大学,2018,24
F,浙江理工大学,2016,56
F,广西师范学院师园学院,2017,242
M,广西中医药大学赛恩斯新医药学院,2016,1575
M,赤峰学院,2018,2
M,湖南工业大学,2018,0
F,西昌学院,2016,1051
M,辽宁大学,2017,2
M,云南大学,2018,14
M,内蒙古大学,2018,40
M,东莞理工学院城市学院,2018,4
M,安徽师范大学,2017,346
F,广西师范大学,2017,1298
M,内蒙古大学,2018,38
M,内蒙古大学,2018,8
F,广西师范学院,2017,851
M,聊城大学,2018,18
M,陕西科技大学,2018,59
M,华南农业大学,2018,16
M,西南医科大学,2018,26
F,湖南财政经济学院,2016,298
M,陕西科技大学,2018,48
F,湖南工业大学,2018,12
M,聊城大学,2018,22
M,贵州大学,2018,18
M,佳木斯大学,2016,5
M,川北医学院,2018,56
F,赤峰学院,2018,8
F,四川化工职业技术学院,2016,12405
M,内蒙古大学,2018,10
M,昆明理工大学,2018,72
M,河北师范大学,2018,54
M,赤峰学院,2018,34
F,河北农业大学,2017,318
F,河北农业大学,2018,17
F,华南农业大学,2018,32
M,广西科技大学,2015,301
M,厦门医学院,2018,12
M,云南大学,2018,6
M,五邑大学,2017,2816
M,湖南师范大学,2016,52
F,赤峰学院,2018,42
M,陕西科技大学,2018,6
M,西华大学,2018,38
M,湖南师范大学,2018,28
F,广西师范大学,2016,740
F,河北农业大学,2018,153
M,顺德职业技术学院,2017,38
M,西南林业大学,2015,4
M,云南大学,2018,29
M,兰州理工大学,2017,378
M,六盘水师范学院,2018,41
F,广西师范大学,2017,707
F,黑龙江大学,2018,16
M,河北农业大学,2018,16
M,佛山科学技术学院,2018,31
F,河北农业大学,2018,14
M,贵州师范大学,2018,18
F,赤峰学院,2018,16
M,内蒙古大学,2018,62
M,华南农业大学,2016,876
M,东莞理工学院城市学院,2018,22
F,湖南财政经济学院,2017,1022
F,河北金融学院,2018,30
M,莆田学院,2017,7847
M,陕西科技大学,2018,98
M,广西师范大学,2017,323
M,陕西科技大学,2018,8
M,陕西科技大学,2018,8
M,陕西科技大学,2018,14
F,广西师范大学,2016,2308
M,陕西铁路工程职业技术学院,2016,612
M,贵州理工学院,2016,395
F,西南科技大学,2016,3783
M,湖南工业大学,2017,20
M,内蒙古大学,2018,22
M,河北农业大学,2018,18
M,河北农业大学,2018,14
M,河北农业大学,2018,6
F,大连海事大学,2018,20
M,云南财经大学,2016,2
F,玉林师范学院,2015,3241
M,昆明理工大学,2018,2
F,辽宁大学,2016,8
M,陕西科技大学,2018,64
M,河北科技大学,2018,41
M,湖南工业大学,2018,30
M,赤峰学院,2018,22
F,广西师范大学,2017,696
F,陕西科技大学,2015,3245
M,东莞理工学院城市学院,2018,10
F,山东农业大学,2017,718
M,陕西科技大学,2018,6
M,陕西科技大学,2018,19
F,吉林农业大学,2016,68
F,南京邮电大学,2018,77
M,赤峰学院,2018,40
M,广西农业职业技术学院,2017,94
M,河北农业大学,2018,6
F,内蒙古大学,2018,31
M,湖南工业大学,2018,20
M,大连海事大学,2018,28
M,湖南文理学院,2018,38
M,广西工业职业技术学院,2018,15
F,西南科技大学,2017,2132
M,陕西科技大学,2018,38
M,湖南工业大学,2018,27
F,商洛学院,2017,1107
M,陕西科技大学,2018,10
M,华南农业大学,2018,50
F,赤峰学院,2018,30
M,河北科技大学,2018,2
M,赤峰学院,2018,6
M,东莞理工学院城市学院,2018,16
F,包头师范学院,2018,22
F,广西师范大学,2017,634
M,广西师范大学,2016,526
F,东莞理工学院城市学院,2018,42
M,中国石油大学（华东）,2017,1889
M,邵阳学院,2017,183
M,广西科技大学,2017,163
F,内蒙古大学,2018,36
M,乐山师范学院,2018,4
M,赤峰学院,2018,24
M,陕西科技大学,2018,36
M,河北科技大学,2018,18
M,广西医科大学,2015,7482
F,河北农业大学,2018,30
M,湖南文理学院,2016,155
M,贵州职业技术学院,2017,82
M,广西科技大学鹿山学院,2015,392
M,陕西科技大学,2018,10
M,陕西科技大学,2018,20
F,广西中医药大学赛恩斯新医药学院,2015,605
F,河北师范大学,2018,46
M,黑龙江八一农垦大学,2018,16
M,河北科技大学,2018,39
M,河北农业大学,2018,32
M,湖南文理学院,2018,21
M,江苏第二师范学院,2018,6
M,陕西科技大学,2017,298
M,陕西科技大学,2018,10
M,成都理工大学,2017,17
F,陕西科技大学,2017,767
M,陕西科技大学,2017,929
M,广西民族大学,2016,703
M,赤峰学院,2018,4
M,华南农业大学,2018,6
M,赤峰学院,2018,36
M,川北医学院,2018,28
M,陕西科技大学,2017,286
M,湖南工业大学,2018,30
F,内蒙古大学,2018,66
M,河北大学,2018,14
M,广西科技大学鹿山学院,2017,114
M,河北科技大学,2018,37
M,陕西科技大学,2018,20
M,陕西科技大学,2018,4
M,黑龙江八一农垦大学,2018,14
F,赤峰学院,2018,46
M,河北科技大学,2018,30
M,陕西科技大学,2018,10
M,云南大学,2018,20
M,湖南文理学院,2018,21
M,大连海事大学,2018,40
M,河北师范大学,2018,12
M,陕西科技大学,2018,50
M,东莞理工学院城市学院,2018,28
M,赤峰学院,2018,8
F,湖南文理学院,2016,459
M,佛山科学技术学院,2018,25
M,湖南文理学院,2018,34
M,赤峰学院,2018,10
M,延安大学,2016,893
F,湖南文理学院,2018,39
M,昆明冶金高等专科学校,2016,4
M,陕西科技大学,2018,34
M,昆明理工大学,2018,24
M,广西民族大学,2017,119
M,华南农业大学,2018,34
F,内蒙古大学,2018,36
F,广西师范大学,2015,1080
M,湖南工业大学,2017,10
F,广西师范大学,2017,1794
M,广西师范大学,2015,571
M,湖南工业大学,2018,0
M,广西电力职业技术学院,2016,169
F,河北农业大学,2017,53
M,陕西科技大学,2018,38
M,河北农业大学,2018,22
F,广西中医药大学赛恩斯新医药学院,2015,1013
M,陕西科技大学,2018,60
M,华南农业大学,2018,20
M,佛山科学技术学院,2015,6015
M,西安航空学院,2017,747
F,湖南文理学院,2018,18
M,聊城大学,2018,20
F,陕西科技大学,2018,12
F,内蒙古大学,2018,16
M,陕西科技大学,2017,1010
M,贵州理工学院,2016,1151
F,河北科技大学,2018,52
F,聊城大学,2018,14
M,广西师范大学,2015,2449
M,河北师范大学,2018,22
M,贵州理工学院,2016,680
F,陕西科技大学,2018,78
M,贵州大学,2018,36
M,湖南文理学院,2018,34
M,包头师范学院,2018,38
M,广西师范大学,2017,2199
M,聊城大学,2018,2
F,赤峰学院,2018,24
M,石家庄铁道大学,2018,6
M,西南财经大学,2017,163
M,广西师范大学,2017,387
M,南京邮电大学,2018,41
M,黑龙江大学,2018,45
M,广西科技师范学院,2017,1949
F,湖南工业大学,2018,30
M,河北农业大学,2018,19
M,赤峰学院,2018,24
M,赤峰学院,2015,38
M,河北农业大学,2018,22
F,河北科技大学,2018,32
M,亳州学院,2017,143
M,赤峰学院,2018,26
M,川北医学院,2017,117
F,东莞理工学院城市学院,2018,18
F,广西师范大学,2017,360
F,广西科技大学,2017,603
M,广西师范大学,2016,860
M,河北金融学院,2018,18
F,河北科技大学,2018,61
F,华南农业大学,2018,4
M,赤峰学院,2018,10
F,陕西科技大学,2018,110
M,湖南师范大学,2018,8
M,赤峰学院,2018,4
M,南华大学,2015,461
M,陕西科技大学,2018,40
M,赤峰学院,2018,15
F,广西师范大学,2017,128
M,内蒙古大学,2018,42
M,广西农业职业技术学院,2017,1567
M,聊城大学,2018,16
F,赤峰学院,2018,25
M,河北科技大学,2018,16
F,长春大学,2017,92
M,内蒙古农业大学,2017,115
M,亳州学院,2017,918
M,陕西科技大学,2018,26
M,铜陵学院,2016,4
M,陕西科技大学,2018,10
M,赤峰学院,2018,12
M,云南大学,2018,14
M,杭州电子科技大学,2017,34
M,东莞理工学院城市学院,2018,6
M,内蒙古大学,2018,18
M,厦门大学,2018,93
M,成都理工大学,2017,2327
M,河北农业大学,2018,8
M,贵州大学,2018,4
M,陕西科技大学,2018,34
M,南华大学,2017,577
M,贵州大学,2018,20
M,内蒙古大学,2018,34
M,河北科技大学,2018,60
M,广西中医药大学赛恩斯新医药学院,2017,1990
F,西安医学院,2017,1108
M,西北农林科技大学,2017,558
M,湖南工业大学,2018,4
M,赤峰学院,2018,24
M,桂林医学院,2017,515
M,华南农业大学,2018,14
M,华南农业大学,2018,26
M,东莞理工学院城市学院,2018,8
M,赤峰学院,2018,4
M,聊城大学,2018,32
M,佛山科学技术学院,2018,26
M,西南石油大学,2018,34
M,贵州理工学院,2016,1049
M,陕西科技大学,2018,46
M,广东海洋大学,2017,4926
F,山东农业大学,2017,160
M,广东第二师范学院,2018,22
M,陕西科技大学,2018,42
M,辽宁大学,2017,2
F,西华大学,2017,326
M,石河子大学,2017,229
F,黑龙江大学,2018,46
F,福建工程学院,2017,939
F,湖南文理学院,2018,1235
M,聊城大学,2018,22
M,广西民族大学相思湖学院,2017,61
M,广西电力职业技术学院,2017,1528
M,昆明理工大学,2018,14
M,昆明理工大学,2018,30
M,贵州工程应用技术学院,2016,122
M,东北农业大学,2017,26
M,河北师范大学,2018,36
M,佛山科学技术学院,2018,22
F,湖南文理学院,2018,31
M,玉溪师范学院,2016,163
M,广西师范大学,2017,334
F,广东第二师范学院,2018,20
M,内蒙古大学,2018,54
F,湖南文理学院,2018,58
M,赤峰学院,2018,26
M,河北科技大学,2018,18
M,陕西科技大学,2018,26
M,广西师范大学,2016,1068
M,河北农业大学,2018,16
M,福建工程学院,2016,5933
M,西北农林科技大学,2014,5047
M,赤峰学院,2018,24
M,陕西科技大学,2018,36
M,成都航空职业技术学院,2017,12375
F,湖南工业大学,2018,30
M,赤峰学院,2018,30
M,贵州大学,2014,326
M,赤峰学院,2017,142
F,赤峰学院,2018,32
M,内蒙古电子信息职业技术学院,2017,64
M,邯郸学院,2017,155
M,南京信息职业技术学院,2017,1714
M,南宁职业技术学院,2017,2035
M,西南林业大学,2016,28
M,赤峰学院,2018,30
F,黑龙江大学,2018,6
F,广西教育学院,2017,136
M,赤峰学院,2018,10
M,广西农业职业技术学院,2017,239
F,哈尔滨学院,2017,20
F,赤峰学院,2018,26
M,东莞理工学院城市学院,2018,2
M,东莞理工学院城市学院,2018,32
M,陕西科技大学,2017,917
M,湖南工业大学,2018,28
M,东莞理工学院城市学院,2018,24
M,西华大学,2017,10539
F,莆田学院,2017,758
F,河北科技大学,2018,22
M,陕西科技大学,2018,36
F,湖南科技大学,2016,40
M,西南医科大学,2018,18
M,广东药科大学,2016,56
M,东莞理工学院城市学院,2018,20
F,石河子大学,2017,1338
M,赤峰学院,2018,26
M,北海职业学院,2017,1321
M,兰州理工大学,2017,5039
M,东莞理工学院城市学院,2018,56
F,陕西科技大学,2018,152
F,昆明理工大学,2018,77
M,陕西科技大学,2018,46
M,华北水利水电大学,2018,6
F,陕西学前师范学院,2017,113
F,陕西科技大学,2018,90
F,陕西科技大学,2018,12
F,陕西科技大学,2018,42
F,安徽科技学院,2015,1371
F,陕西科技大学,2018,53
F,玉林师范学院,2016,4657
M,山东理工大学,2016,1465
M,河北师范大学,2018,24
M,华南农业大学,2018,48
M,云南民族大学,2015,37
M,安徽师范大学,2017,988
M,福建工程学院,2017,338
M,广西工业职业技术学院,2018,18
M,陕西科技大学,2018,24
F,广西师范大学,2017,932
F,湖南财政经济学院,2017,1160
F,上海电力学院,2017,135
M,西南医科大学,2016,4337
M,广西艺术学院,2017,50
M,西南林业大学,2017,12
F,广东第二师范学院,2018,32
M,内蒙古大学,2018,34
M,聊城大学,2018,48
M,广西民族大学,2016,390
M,华南农业大学,2018,30
M,河北农业大学,2018,33
M,四川信息职业技术学院,2017,1326
F,广西师范学院,2017,3209
M,安徽医科大学,2016,20
