性别,大学,入学年,J值
M,广西幼儿师范高等专科学校,2017,62
F,广西师范大学,2016,268
M,广西幼儿师范高等专科学校,2017,58
F,广西电力职业技术学院,2017,2563
M,广西民族大学,2017,100
F,山东师范大学,2017,141
M,广西科技大学,2017,105
M,桂林理工大学,2015,594
M,广西科技大学,2017,245
M,广西师范学院,2017,379
M,广西师范大学,2015,367
M,广西师范大学,2017,516
F,山东师范大学,2017,104
F,广西师范大学,2017,681
M,陕西科技大学,2017,224
M,陕西学前师范学院,2017,140
M,厦门大学,2017,66
M,西华大学,2017,133
F,广西师范大学,2016,2482
M,广西科技大学,2017,201
M,广西师范大学,2017,371
M,广西师范大学,2016,377
M,广西科技大学,2017,251
M,广西师范学院,2017,188
M,广西师范学院,2017,162
F,广西师范大学,2016,474
F,广西农业职业技术学院,2017,183
M,广西幼儿师范高等专科学校,2017,43
F,广西师范学院,2017,170
M,广西师范学院,2017,213
F,广西师范大学,2017,390
M,贵州理工学院,2015,122
M,广西国际商务职业技术学院,2015,20
M,广东药科大学,2017,61
M,贵州工程应用技术学院,2017,142
M,兰州理工大学,2016,2399
M,广西师范大学,2013,191
M,贵州理工学院,2016,298
F,广西师范学院,2017,392
M,浙江理工大学,2017,76
M,贵州理工学院,2016,250
M,柳州城市职业学院,2017,71
M,内蒙古农业大学,2016,40
M,西华大学,2017,844
F,广西师范大学,2017,337
F,云南财经大学,2017,28
M,遵义职业技术学院,2017,4
F,广西师范学院,2016,310
M,石河子大学,2015,200
F,玉林师范学院,2017,243
F,成都航空职业技术学院,2017,1009
M,广西师范学院,2016,786
F,绵阳师范学院,2016,189
F,广西师范大学,2017,133
F,四川信息职业技术学院,2017,190
M,广西师范大学,2017,42
F,广西师范学院,2016,470
F,梧州职业学院,2017,43
F,呼伦贝尔学院,2017,50
F,西华师范大学,2017,1891
M,西华大学,2017,57
F,绵阳师范学院,2016,1668
M,云南大学,2015,8
M,贵州工程应用技术学院,2017,100
F,桂林师范高等专科学校,2017,387
M,贵阳学院,2017,62
M,桂林电子科技大学,2016,386
M,西华大学,2016,470
M,西藏民族大学,2017,151
M,广西农业职业技术学院,2017,112
M,贵州理工学院,2017,211
